District,Representative,Prior experience,Education,Assumed office,Residence,Born,Female,Black,Hispanic,Asian,Age
Texas 13,Mac Thornberry,"Rancher, attorney","Texas Tech University (BA)
University of Texas at Austin (JD)",1995,Clarendon,1958,0,0,0,0,60
Texas 14,Randy Weber,"Texas House of Representatives, Pearland City Council","Alvin Community College
University of Houston–Clear Lake (BS)",2013,Alvin,1953,0,0,0,0,65
Texas 15,Vicente González,"food processing executive, Texas State Board of Education","Embry–Riddle Aeronautical University (BA)
Texas Wesleyan University (JD)",2017,McAllen,1967,0,0,1,0,51
Texas 16,Beto O'Rourke,El Paso City Councilman,Columbia University (BA),2013,El Paso,1972,0,0,0,0,46
Texas 17,Bill Flores,businessman,"Texas A&M University (BA)
Houston Baptist University
(MBA)",2011,Bryan,1954,0,0,0,0,64
Texas 18,Sheila Jackson Lee,"Houston City Council, municipal judge","Yale University (BA)
University of Virginia (JD)",1995,Houston,1950,1,1,0,0,68
Texas 19,Jodey Arrington,"Educator, public administrator, White House aide","Texas Tech University (BA, MPA)",2017,Lubbock,1972,0,0,0,0,46
Texas 20,Joaquín Castro,Texas House of Representatives,"Stanford University (BA)
Harvard University (JD)",2013,San Antonio,1974,0,0,1,0,44
Texas 21,Lamar Smith,"Bexar County Commissioner, Texas House of Representatives","Yale University (BA)
Southern Methodist University (JD)",1987,San Antonio,1947,0,0,0,0,71
Texas 22,Pete Olson,Congressional aide,"Rice University (BA)
University of Texas at Austin (JD)",2009,Sugar Land,1962,0,0,0,0,56
Texas 23,Will Hurd,"Corporate adviser, former CIA operative",Texas A&M University (BS),2015,Helotes,1977,0,1,0,0,41
Texas 24,Kenny Marchant,"Mayor of Carrolton, Texas House of Representatives","Southern Nazarene University (BA)
Nazarene Theological Seminary",2005,Coppell,1951,0,0,0,0,67
Texas 25,Roger Williams,Secretary of State of Texas,Texas Christian University (BA),2013,Weatherford,1949,0,0,0,0,69
Texas 26,Michael Burgess,Physician,"University of North Texas (BS, MS)
University of Texas, Houston (MD)
University of Texas at Dallas (MS)",2003,Lewisville,1950,0,0,0,0,68
Texas 27,Michael Cloud,Chair of the Victoria County Republican Party,Oral Roberts University (BS),2018,Victoria,1975,0,0,0,0,43
Texas 28,Henry Cuellar,"Texas House of Representatives, Texas Secretary of State","Laredo Community College
Georgetown University (BA)
University of Texas at Austin (JD, PhD)
Texas A&M International University (MA)",2005,Laredo,1955,0,0,1,0,63
Texas 29,Gene Green,"Texas House of Representatives, Texas Senate","University of Houston (BA, JD)",1993,Houston,1947,0,0,0,0,71
Texas 30,Eddie Johnson,"Texas Senate, nurse","St Mary's College, Indiana
Texas Christian University (BS)
Southern Methodist University (MPA)",1993,Dallas,1935,1,1,0,0,83
Texas 31,John Carter,Texas state district judge,"Texas Tech University (BA)
University of Texas at Austin (JD)",2003,Round Rock,1941,0,0,0,0,77
Texas 32,Pete Sessions,marketing executive,Southwestern University (BS),1997,Dallas,1955,0,0,0,0,63
Texas 33,Marc Veasey,Texas House of Representatives,Texas Wesleyan University (BA),2013,Fort Worth,1971,0,1,0,0,47
Texas 34,Filemon Vela Jr.,Attorney,"Georgetown University (BA)
University of Texas at Austin (JD)",2013,Brownsville,1963,0,0,1,0,55
Texas 35,Lloyd Doggett,"Texas Senate, Texas Supreme Court justice, college professor","University of Texas at Austin (BA, JD)",1995,Austin,1946,0,0,0,0,72
Texas 36,Brian Babin,"Lower Neches Valley Authority, Texas Historical Commission, Mayor of Woodville","Lamar University (BS)
University of Texas, Houston (DDS)",2015,Woodville,1948,0,0,0,0,70
Utah 1,Rob Bishop,"Speaker of the Utah House of Representatives, Utah Republican Party Chair",University of Utah (BA),2003,Brigham City,1951,0,0,0,0,67
Utah 2,Chris Stewart,"Author, businessman",Utah State University (BA),2013,Farmington,1960,0,0,0,0,58
Utah 3,John Curtis,Mayor of Provo,Brigham Young University (BS),2017,Provo,1960,0,0,0,0,58
Utah 4,Mia Love,Mayor of Saratoga Springs,University of Hartford (BFA),2015,Saratoga Springs,1975,1,1,0,0,43
Vermont at large,Peter Welch,Vermont Senate President Pro Tempore,"College of the Holy Cross (BA)
University of California, Berkeley (JD)",2007,Norwich,1947,0,0,0,0,71
Virginia 1,Rob Wittman,"Mayor of Montross, Westmoreland County Board of Supervisors, Virginia House of Delegates","Virginia Tech (BS)
University of North Carolina at Chapel Hill (MPH)
Virginia Commonwealth University (PhD)",2007,Montross,1959,0,0,0,0,59
Virginia 2,Scott Taylor,Virginia House of Delegates,"Old Dominion University
Harvard University (BLA)",2017,Virginia Beach,1979,0,0,0,0,39
Virginia 3,Bobby Scott,"Virginia Senate, Virginia House of Delegates","Harvard University (BA)
Boston College (JD)",1993,Newport News,1947,0,1,0,0,71
Virginia 4,Donald McEachin,"Virginia Senate, Virginia House of Delegates","American University (BA)
University of Virginia (JD)
Virginia Union University (MDiv)",2017,Henrico County,1961,0,1,0,0,57
Virginia 5,Tom Garrett Jr.,Virginia Senate,"University of Richmond (BA, JD)",2017,Buckingham County,1972,0,0,0,0,46
Virginia 6,Bob Goodlatte,Private legal practice,"Bates College (BA)
Washington and Lee University (JD)",1993,Roanoke,1952,0,0,0,0,66
Virginia 7,Dave Brat,Economics professor at Randolph–Macon College,"Hope College (BA)
Princeton Theological Seminary (MDiv)
American University (PhD)",2014,Glen Allen,1964,0,0,0,0,54
Virginia 8,Don Beyer,"U.S. Ambassador to Switzerland and Liechtenstein, Lieutenant Governor of Virginia",Williams College (BA),2015,Alexandria,1950,0,0,0,0,68
Virginia 9,Morgan Griffith,Majority Leader of the Virginia House of Delegates,"Emory and Henry College (BA)
Washington and Lee University (JD)",2011,Salem,1958,0,0,0,0,60
Virginia 10,Barbara Comstock,Virginia House of Delegates,"Middlebury College (BA)
Georgetown University (JD)",2015,McLean,1959,1,0,0,0,59
Virginia 11,Gerry Connolly,Fairfax County Board of Supervisors Chair,"Maryknoll College (BA)
Harvard University (MPA)",2009,Fairfax,1950,0,0,0,0,68
Washington 1,Suzan DelBene,Washington Department of Revenue Director,"Reed College (BS)
University of Washington (MBA)",2012,Medina,1962,1,0,0,0,56
Washington 2,Rick Larsen,Snohomish County Council,"Pacific Lutheran University (BA)
University of Minnesota (MPA)",2001,Lake Stevens,1965,0,0,0,0,53
Washington 3,Jaime Herrera Beutler,Washington House of Representatives,"Bellevue College
University of Washington (BA)",2011,Camas,1978,1,0,1,0,40
Washington 4,Dan Newhouse,Washington House of Representatives,Washington State University (BS),2015,Sunnyside,1955,0,0,0,0,63
Washington 5,Cathy McMorris Rodgers,Washington House of Representatives,"Pensacola Christian College (BA)
University of Washington (MBA)",2005,Colville,1969,1,0,0,0,49
Washington 6,Derek Kilmer,Washington State Senate,"Princeton University (BA)
University of Oxford (MA, PhD)",2013,Artondale,1974,0,0,0,0,44
Washington 7,Pramila Jayapal,Washington State Senate,"Georgetown University (BA)
Northwestern University (MBA)",2017,Seattle,1965,1,0,0,1,53
Washington 8,Dave Reichert,King County Sheriff,"Concordia University, Oregon",2005,Auburn,1950,0,0,0,0,68
Washington 9,Adam Smith,Washington State Senate,"Western Washington University
Fordham University (BA)
University of Washington (JD)",1997,Bellevue,1965,0,0,0,0,53
Washington 10,Dennis Heck,Washington House of Representatives,"Evergreen State College (BA)
Portland State University",2013,Olympia,1952,0,0,0,0,66
West Virginia 1,David McKinley,"West Virginia House of Delegates, businessman",Purdue University (BS),2011,Wheeling,1947,0,0,0,0,71
West Virginia 2,Alex Mooney,Maryland Senate,Dartmouth College (BA),2015,Charles Town,1971,0,0,0,0,47
West Virginia 3,,,,,,,,,,,2018
Wisconsin 1,Paul Ryan,Legislative Director,Miami University (BA),1999,Janesville,1970,0,0,0,0,48
Wisconsin 2,Mark Pocan,Wisconsin State Assembly,University of Wisconsin–Madison (BA),2013,Madison,1964,0,0,0,0,54
Wisconsin 3,Ron Kind,County Prosecutor,"Harvard University (BA)
London School of Economics
(MA)
University of Minnesota (JD)",1997,La Crosse,1963,0,0,0,0,55
Wisconsin 4,Gwen Moore,"Wisconsin State Senate, Wisconsin State Assembly",Marquette University (BA),2005,Milwaukee,1951,1,1,0,0,67
Wisconsin 5,Jim Sensenbrenner,"Wisconsin State Senate, Wisconsin State Assembly","Stanford University (BA)
University of Wisconsin–Madison (JD)",1979,Menomonee Falls,1943,0,0,0,0,75
Wisconsin 6,Glenn Grothman,"Wisconsin Senate, Wisconsin State Assembly","University of Wisconsin–Madison (BA, JD)",2015,Campbellsport,1955,0,0,0,0,63
Wisconsin 7,Sean Duffy,Ashland County District Attorney,"Saint Mary's University of Minnesota (BA)
William Mitchell College of Law (JD)",2011,Wausau,1971,0,0,0,0,47
Wisconsin 8,Mike Gallagher,Political advisor,"Princeton University (BA)
National Intelligence University (MS)
Georgetown University (MA, MS, PhD)",2017,Green Bay,1984,0,0,0,0,34
Wyoming at large,Liz Cheney,Principal Deputy Assistant Secretary of State For Near Eastern Affairs,"Colorado College (BA)
University of Chicago (JD)",2017,Jackson,1966,1,0,0,0,52
