Location,Incumbent,Party,First_elected,results,candidates,notes
Massachusetts 2,Jim McGovern,Democratic,1996,Incumbent renominated.,"Paul Grady (Independent)[112]
Tracy Lovvorn (Republican)[113]
Jim McGovern (Democratic)[111]",
Massachusetts 3,Niki Tsongas,Democratic,2007,Incumbent retiring.,"Rick Green (Republican)[113]
Lori Trahan (Democratic)[111]",
Massachusetts 4,Joe Kennedy III,Democratic,2012,Incumbent renominated.,Joe Kennedy III (Democratic)[111],
Massachusetts 5,Katherine Clark,Democratic,2013,Incumbent renominated.,"Katherine Clark (Democratic)[111]
John Hugo (Republican)[113]",
Massachusetts 6,Seth Moulton,Democratic,2014,Incumbent renominated.,"Seth Moulton (Democratic)[111]
Joseph Schneider (Republican)[113]",
Massachusetts 7,Mike Capuano,Democratic,1998,Incumbent lost renomination.,Ayanna Pressley (Democratic)[111],
Massachusetts 8,Stephen Lynch,Democratic,2001,Incumbent renominated.,Stephen Lynch (Democratic)[111],
Massachusetts 9,Bill Keating,Democratic,2010,Incumbent renominated.,"Bill Keating (Democratic)[111]
Peter Tedeschi (Republican)[113]",
Michigan 1,Jack Bergman,Republican,2016,Incumbent renominated.,"Jack Bergman (Republican)[42][114]
Matt Morgan (Democratic)[115][116]",
Michigan 2,Bill Huizenga,Republican,2010,Incumbent renominated.,"Rob Davidson (Democratic)[42][114]
Bill Huizenga (Republican)[42][114]",
Michigan 3,Justin Amash,Republican,2010,Incumbent renominated.,"Cathy Albro (Democratic)[42][114]
Justin Amash (Republican)[42][114]
Douglas Smith (Independent)[114]",
Michigan 4,John Moolenaar,Republican,2014,Incumbent renominated.,"Jerry Hilliard (Democratic)[42][114]
John Moolenaar (Republican)[42][114]",
Michigan 5,Dan Kildee,Democratic,2012,Incumbent renominated.,"Dan Kildee (Democratic)[42][114]
Travis Wines (Republican)[42][114]",
Michigan 6,Fred Upton,Republican,1986,Incumbent renominated.,"Matt Longjohn (Democratic)[42][114]
Fred Upton (Republican)[42][114]",
Michigan 7,Tim Walberg,Republican,2010,Incumbent renominated.,"Gretchen Driskell (Democratic)[42][114]
Tim Walberg (Republican)[42][114]",
Michigan 8,Mike Bishop,Republican,2014,Incumbent renominated.,"Mike Bishop (Republican)[42][114]
Brian Ellison (Libertarian)[42][114]
Elissa Slotkin (Democratic)[42][114]",
Michigan 9,Sander Levin,Democratic,1982,Incumbent retiring.,"Andy Levin (Democratic)[42][114]
John McDermott (Green)[114]
Candius Stearns (Republican)[42][114]",
Michigan 10,Paul Mitchell,Republican,2016,Incumbent renominated.,"Kimberly Bizon (Democratic)[42][114]
Harley Mikkelson (Green)[114]
Paul Mitchell (Republican)[42][114]
Jeremy Peruski (Independent)[114]",
Michigan 11,Dave Trott,Republican,2014,Incumbent retiring.,"Lena Epstein (Republican)[42][114]
Cooper Nye (Independent)[114][117]
Leonard Schwartz (Libertarian)[42][114]
Haley Stevens (Democratic)[42][114]",
Michigan 12,Debbie Dingell,Democratic,2014,Incumbent renominated.,"Debbie Dingell (Democratic)[42][114]
Jeff Jones (Republican)[42][114]
Steve Young (Green)[114]",
Michigan 13,,,,,Rashida Tlaib (Democratic)[42][114],
Michigan 14,Brenda Lawrence,Democratic,2014,Incumbent renominated.,"Marc Herschfus (Republican)[42][114]
Brenda Lawrence (Democratic)[42][114]",
Minnesota 1,Tim Walz,Democratic,2006,"Incumbent retiring
to run for Governor.","Dan Feehan (Democratic)[118]
Jim Hagedorn (Republican)[118]",
Minnesota 2,Jason Lewis,Republican,2016,Incumbent renominated.,"Angie Craig (Democratic)[118]
Jason Lewis (Republican)[118]",
Minnesota 3,Erik Paulsen,Republican,2008,Incumbent renominated.,"Erik Paulsen (Republican)[118]
Dean Phillips (Democratic)[118]",
Minnesota 4,Betty McCollum,Democratic,2000,Incumbent renominated.,"Betty McCollum (Democratic)[118]
Susan Pendergast Sindt (Legal Marijuana Now)[118]
Greg Ryan (Republican)[118]",
Minnesota 5,Keith Ellison,Democratic,2006,"Incumbent retiring to
run for Attorney General.","Ilhan Omar (Democratic)[118]
Jennifer Zielinski (Republican)[118]",
Minnesota 6,Tom Emmer,Republican,2014,Incumbent renominated.,"Tom Emmer (Republican)[118]
Ian Todd (Democratic)[118]",
Minnesota 7,Collin Peterson,Democratic,1990,Incumbent renominated.,"Dave Hughes (Republican)[118]
Collin Peterson (Democratic)[118]",
Minnesota 8,Rick Nolan,Democratic,2012,Incumbent retiring.,"Joe Radinovich (Democratic)[118]
Ray ""Skip"" Sandman (Independence)[119]
Pete Stauber (Republican)[118]",
Mississippi 1,Trent Kelly,Republican,2015,Incumbent renominated.,"Trent Kelly (Republican)[120]
Randy Wadkins (Democratic)[120]",
Mississippi 2,Bennie Thompson,Democratic,1992,Incumbent renominated.,Bennie Thompson (Democratic)[120],
Mississippi 3,Gregg Harper,Republican,2008,Incumbent retiring.,"Michael Evans (Democratic)[120]
Michael Guest (Republican)[120]
Matthew Holland (Reform)[120]",
Mississippi 4,Steven Palazzo,Republican,2010,Incumbent renominated.,"Jeramey Anderson (Democratic)[120]
Steven Palazzo (Republican)[120]",
Missouri 1,Lacy Clay,Democratic,2000,Incumbent renominated.,"Lacy Clay (Democratic)[121]
Robb Cunningham (Libertarian)[121]
Robert Vroman (Republican)[121]",
Missouri 2,Ann Wagner,Republican,2012,Incumbent renominated.,"David Justus Arnold (Green)[121]
Larry A. ""Tony"" Kirk (Libertarian)[121]
Cort VanOstran (Democratic)[121]
Ann Wagner (Republican)[121]",
Missouri 3,Blaine Luetkemeyer,Republican,2008,Incumbent renominated.,"Katy Geppert (Democratic)[121]
Blaine Luetkemeyer (Republican)[121]
Donald Stolle (Libertarian)[121]",
Missouri 4,Vicky Hartzler,Republican,2010,Incumbent renominated.,"Mark Bliss (Libertarian)[121]
Vicky Hartzler (Republican)[121]
Renee Hoagenson (Democratic)[121]",
Missouri 5,Emanuel Cleaver,Democratic,2004,Incumbent renominated.,"Emanuel Cleaver (Democratic)[121]
Maurice Copeland (Green)[121]
E. C. Fredland (Constitution)[121]
Alexander Howell (Libertarian)[121]
Jacob Turk (Republican)[121]",
Missouri 6,Sam Graves,Republican,2000,Incumbent renominated.,"Sam Graves (Republican)[121]
Dan Hogan (Libertarian)[121]
Henry Martin (Democratic)[121]",
Missouri 7,Billy Long,Republican,2010,Incumbent renominated.,"Ben Brixey (Libertarian)[121]
Billy Long (Republican)[121]
Jamie Schoolcraft (Democratic)[121]",
Missouri 8,Jason Smith,Republican,2013,Incumbent renominated.,"Kathy Ellis (Democratic)[121]
Jonathan Shell (Libertarian)[121]
Jason Smith (Republican)[121]",
Montana 1,Greg Gianforte,Republican,2017,Incumbent renominated.,"Doug Campbell (Independent)[122]
Greg Gianforte (Republican)[122]
Elinor Swanson (Libertarian)[122]
Kathleen Williams (Democratic)[122]",
Nebraska 1,Jeff Fortenberry,Republican,2004,Incumbent renominated.,"Jeff Fortenberry (Republican)[123]
Jessica McClure (Democratic)[123]",
Nebraska 2,Don Bacon,Republican,2016,Incumbent renominated.,"Don Bacon (Republican)[123]
Kara Eastman (Democratic)[123]",
Nebraska 3,Adrian Smith,Republican,2006,Incumbent renominated.,"Adrian Smith (Republican)[123]
Paul Theobald (Democratic)[123]",
Nevada 1,Dina Titus,Democratic,2012,Incumbent renominated.,"Joyce Bentley (Republican)[124]
Dan Garfield (Independent American)[124]
Robert Strawder (Libertarian)[124]
Dina Titus (Democratic)[125]",
Nevada 2,Mark Amodei,Republican,2011,Incumbent renominated.,"Mark Amodei (Republican)[126]
Clint Koble (Democratic)[126]",
Nevada 3,Jacky Rosen,Democratic,2016,Incumbent retiring to run for U.S. Senator.,"Susie Lee (Democratic)[124]
Danny Tarkanian (Republican)[127]",
Nevada 4,Ruben Kihuen,Democratic,2016,Incumbent retiring.,"Cresent Hardy (Republican)[126]
Steven Horsford (Democratic)[126]",
New Hampshire 1,Carol Shea-Porter,Democratic,2016,Incumbent retiring.,"Dan Belforti (Libertarian)[128]
Eddie Edwards (Republican)[128]
Chris Pappas (Democratic)[128]",
New Hampshire 2,Ann McLane Kuster,Democratic,2012,Incumbent renominated.,"Ann McLane Kuster (Democratic)[128]
Steve Negron (Republican)[128]
Justin O'Donnell (Libertarian)[128]",
New Jersey 1,Donald Norcross,Democratic,2014,Incumbent renominated.,"Paul Dilks (Republican)[129]
Donald Norcross (Democratic)[129]",
New Jersey 2,Frank LoBiondo,Republican,1994,Incumbent retiring.,"Seth Grossman (Republican)[129]
Jeff Van Drew (Democratic)[129]",
New Jersey 3,Tom MacArthur,Republican,2014,Incumbent renominated.,"Andy Kim (Democratic)[129]
Tom MacArthur (Republican)[129]",
New Jersey 4,Chris Smith,Republican,1980,Incumbent renominated.,"Chris Smith (Republican)[129]
Edward Stackhouse (Independent)[130]
Josh Welle (Democratic)[129]",
New Jersey 5,Josh Gottheimer,Democratic,2016,Incumbent renominated.,"Josh Gottheimer (Democratic)[129]
John McCann (Republican)[129]",
New Jersey 6,Frank Pallone,Democratic,1988,Incumbent renominated.,"Frank Pallone (Democratic)[129]
Rich Pezzullo (Republican)[129]",
New Jersey 7,Leonard Lance,Republican,2008,Incumbent renominated.,"Leonard Lance (Republican)[129]
Tom Malinowski (Democratic)[129]",
New Jersey 8,Albio Sires,Democratic,2006,Incumbent renominated.,"John Muniz (Republican)[129]
Albio Sires (Democratic)[129]",
New Jersey 9,Bill Pascrell,Democratic,1996,Incumbent renominated.,"Eric Fisher (Republican)[129]
Bill Pascrell (Democratic)[129]",
New Jersey 10,Donald Payne,Democratic,2012,Incumbent renominated.,"Agha Khan (Republican)[129]
Donald Payne (Democratic)[129]",
New Jersey 11,Rodney Frelinghuysen,Republican,1994,Incumbent retiring.,"Mikie Sherrill (Democratic)[129]
Jay Webber (Republican)[129]",
New Jersey 12,Bonnie Watson Coleman,Democratic,2014,Incumbent renominated.,"Daryl Kipnis (Republican)[129]
Bonnie Watson Coleman (Democratic)[129]",
New Mexico 1,Michelle Luján Grisham,Democratic,2012,Incumbent retiring to run for Governor.,"Janice Arnold-Jones (Republican)[131]
Deb Haaland (Democratic)[131]
Lloyd Princeton (Libertarian)[131]",
New Mexico 2,Steve Pearce,Republican,2010,Incumbent retiring to run for Governor.,"Yvette Herrell (Republican)[131]
Xochitl Torres Small (Democratic)[131]",
New Mexico 3,Ben Ray Luján,Democratic,2008,Incumbent renominated.,"Ben Ray Luján (Democratic)[131]
Christopher Manning (Libertarian)[131]
Jerald McFall (Republican)[131]",
New York 1,Lee Zeldin,Republican,2014,Incumbent renominated.,"Perry Gershon (Democratic)[132]
Lee Zeldin (Republican)[133]",
New York 2,Peter King,Republican,1992,Incumbent renominated.,"Liuba Grechen Shirley (Democratic)[132]
Peter King (Republican)[134]",
New York 3,Tom Suozzi,Democratic,2016,Incumbent renominated.,"Dan DeBono (Republican)[134]
Tom Suozzi (Democratic)[134]",
New York 4,Kathleen Rice,Democratic,2014,Incumbent renominated.,"Ameer Benno (Republican)[133]
Kathleen Rice (Democratic)[133]",
New York 5,Gregory Meeks,Democratic,1998,Incumbent renominated.,Gregory Meeks (Democratic)[132],
New York 6,Grace Meng,Democratic,2012,Incumbent renominated.,"Tom Hillgardner (Green)[135]
Grace Meng (Democratic)[135]",
New York 7,Nydia Velázquez,Democratic,1992,Incumbent renominated.,"Jeff Kurzon (Reform)[135]
Joseph Lieberman (Conservative)[135]
Nydia Velázquez (Democratic)[135]",
New York 8,Hakeem Jeffries,Democratic,2012,Incumbent renominated.,"Hakeem Jeffries (Democratic)[135]
Ernest Johnson (Conservative)[135]
Jessica White (Reform)[135]",
New York 9,Yvette Clarke,Democratic,2006,Incumbent renominated.,"Joel Anabilah-Azumah (Reform)[135]
Yvette Clarke (Democratic)[132]
Lutchi Gayot (Republican)[135]",
New York 10,Jerry Nadler,Democratic,1992,Incumbent renominated.,"Naomi Levin (Republican)[135]
Jerry Nadler (Democratic)[135]",
New York 11,Dan Donovan,Republican,2015,Incumbent renominated.,"Henry Bardel (Green)[135]
Dan Donovan (Republican)[132]
Max Rose (Democratic)[132]",
New York 12,Carolyn Maloney,Democratic,1992,Incumbent renominated.,"Scott Hutchins (Green)[135]
Carolyn Maloney (Democratic)[132]
Eliot Rabin (Republican)[135]",
New York 13,Adriano Espaillat,Democratic,2016,Incumbent renominated.,"Jineea Butler (Republican)[135]
Adriano Espaillat (Democratic)[135]",
New York 14,Joe Crowley,Democratic,1998,Incumbent lost his party's nomination but running with another party.,"James Dillon (Reform)[135]
Alexandria Ocasio-Cortez (Democratic)[132]
Anthony Pappas (Republican)[135]
Elizabeth Perri (Conservative)[135]
Joe Crowley (Working Families)[135]",
New York 15,José Serrano,Democratic,1990,Incumbent renominated.,"Jason Gonzalez (Republican)[135]
José Serrano (Democratic)[135]",
New York 16,Eliot Engel,Democratic,1988,Incumbent renominated.,Eliot Engel (Democratic)[132],
New York 17,Nita Lowey,Democratic,1988,Incumbent renominated.,"Joe Ciardullo (Reform)[134]
Nita Lowey (Democratic)[134]",
New York 18,Sean Patrick Maloney,Democratic,2012,Incumbent renominated.,"Sean Patrick Maloney (Democratic)[134]
James O'Donnell (Republican)[134]",
New York 19,John Faso,Republican,2016,Incumbent renominated.,"Antonio Delgado (Democratic)[132]
John Faso (Republican)[134]
Steven Greenfield (Green)[134]",
New York 20,Paul Tonko,Democratic,2008,Incumbent renominated.,"Paul Tonko (Democratic)[134]
Francis Vitollo (Republican)[134]",
New York 21,Elise Stefanik,Republican,2014,Incumbent renominated.,"Tedra Cobb (Democratic)[132]
Lynn Kahn (Green)[134]
Elise Stefanik (Republican)[134]",
New York 22,Claudia Tenney,Republican,2016,Incumbent renominated.,"Anthony Brindisi (Democratic)[134]
Claudia Tenney (Republican)[134]",
New York 23,Tom Reed,Republican,2010,Incumbent renominated.,"J.G. Hertzler (Independent)[136]
Tracy Mitrano (Democratic)[132]
Tom Reed (Republican)[134]",
New York 24,John Katko,Republican,2014,Incumbent renominated.,"Dana Balter (Democratic)[132]
Bill Bass (Independent)[137]
John Katko (Republican)[134]",
New York 25,,,,,"Jim Maxwell (Republican)[138]
Joe Morelle (Democratic)[132]",
New York 26,Brian Higgins,Democratic,2004,Incumbent renominated.,"Brian Higgins (Democratic)[134]
Renee Zeno (Republican)[134]",
New York 27,Chris Collins,Republican,2012,"Incumbent renominated, but announced that he would suspend his campaign.[139] However, his name will remain on the ballot.[140]","Chris Collins (Republican)[134]
Nate McMurray (Democratic)[134]
Larry Piegza (Reform)[134]",
North Carolina 1,G. K. Butterfield,Democratic,2004,Incumbent renominated.,"Roger Allison (Republican)[141]
G. K. Butterfield (Democratic)[141]",
North Carolina 2,George Holding,Republican,2012,Incumbent renominated.,"Linda Coleman (Democratic)[141]
George Holding (Republican)[141]
Jeff Matemu (Libertarian)[141]",
North Carolina 3,Walter Jones,Republican,1994,Incumbent renominated.,Walter Jones (Republican)[141],
North Carolina 4,David Price,Democratic,1996,Incumbent renominated.,"Barbara Howe (Libertarian)[141]
David Price (Democratic)[141]
Steve Von Loor (Republican)[141]",
North Carolina 5,Virginia Foxx,Republican,2004,Incumbent renominated.,"DD Adams (Democratic)[141]
Virginia Foxx (Republican)[141]",
North Carolina 6,Mark Walker,Republican,2014,Incumbent renominated.,"Mark Walker (Republican)[141]
Ryan Watts (Democratic)[141]",
North Carolina 7,David Rouzer,Republican,2014,Incumbent renominated.,"Kyle Horton (Democratic)[141]
David Rouzer (Republican)[141]",
North Carolina 8,Richard Hudson,Republican,2012,Incumbent renominated.,"Richard Hudson (Republican)[141]
Frank McNeill (Democratic)[141]",
North Carolina 9,Robert Pittenger,Republican,2012,Incumbent lost renomination.,"Mark Harris (Republican)[141]
Dan McCready (Democratic)[141]
Jeff Scott (Libertarian)[141]",
North Carolina 10,Patrick McHenry,Republican,2004,Incumbent renominated.,"David Brown (Democratic)[141]
Patrick McHenry (Republican)[141]",
North Carolina 11,Mark Meadows,Republican,2012,Incumbent renominated.,"Clifton Ingram (Libertarian)[141]
Mark Meadows (Republican)[141]
Phillip Price (Democratic)[141]",
North Carolina 12,Alma Adams,Democratic,2014,Incumbent renominated.,"Alma Adams (Democratic)[141]
Paul Wright (Republican)[141]",
North Carolina 13,Ted Budd,Republican,2016,Incumbent renominated.,"Tom Bailey (Libertarian)[141]
Ted Budd (Republican)[141]
Kathy Manning (Democratic)[141]",
North Dakota 1,Kevin Cramer,Republican,2012,Incumbent retiring to run for U.S. Senator.,"Kelly Armstrong (Republican)[142]
Mac Schneider (Democratic)[142]",
Ohio 1,Steve Chabot,Republican,2010,Incumbent renominated.,"Steve Chabot (Republican)[143]
Aftab Pureval (Democratic)[144]",
Ohio 2,Brad Wenstrup,Republican,2012,Incumbent renominated.,"Steve Myers (Independent)[145]
Jill Schiller (Democratic)[146]
Brad Wenstrup (Republican)[147]",
Ohio 3,Joyce Beatty,Democratic,2012,Incumbent renominated.,"Joyce Beatty (Democratic)[143]
James Burgess (Republican)[143]",
Ohio 4,Jim Jordan,Republican,2006,Incumbent renominated.,"Janet Garrett (Democratic)[148]
Jim Jordan (Republican)[149]",
Ohio 5,Bob Latta,Republican,2006,Incumbent renominated.,"Michael Galbraith (Democratic)[150]
Bob Latta (Republican)[151]",
Ohio 6,Bill Johnson,Republican,2010,Incumbent renominated.,"Bill Johnson (Republican)[citation needed]
Shawna Roberts (Democratic)[152]",
Ohio 7,Bob Gibbs,Republican,2010,Incumbent renominated.,"Bob Gibbs (Republican)[149]
Ken Harbaugh (Democratic)[153]",
Ohio 8,Warren Davidson,Republican,2016,Incumbent renominated.,"Warren Davidson (Republican)[143]
Vanessa Enoch (Democratic)[143]",
Ohio 9,Marcy Kaptur,Democratic,1982,Incumbent renominated.,"Marcy Kaptur (Democratic)[149]
Steve Kraus (Republican)[149]",
Ohio 10,Mike Turner,Republican,2002,Incumbent renominated.,"Theresa Gasper (Democratic)[154]
Mike Turner (Republican)[143]",
Ohio 11,Marcia Fudge,Democratic,2006,Incumbent renominated.,"Marcia Fudge (Democratic)[149]
Beverly Goldstein (Republican)[149]",
Ohio 12,Troy Balderson,Republican,2018,Incumbent nominated before winning special election.,"Troy Balderson (Republican)[143]
Joseph Manchik (Green)[143]
Danny O'Connor (Democratic)[143]",
Ohio 13,Tim Ryan,Democratic,2002,Incumbent renominated.,"Chris DePizzo (Republican)[155]
Tim Ryan (Democratic)[156]",
Ohio 14,David Joyce,Republican,2012,Incumbent renominated.,"David Joyce (Republican)[149]
Betsy Rader (Democratic)[157]",
Ohio 15,Steve Stivers,Republican,2010,Incumbent renominated.,"Johnathan Miller (Independent)[i][159]
Rick Neal (Democratic)[160]
Steve Stivers (Republican)[143]",
Ohio 16,Jim Renacci,Republican,2010,Incumbent retiring to run for U.S. Senator.,"Anthony Gonzalez (Republican)[161]
Susan Moran Palmer (Democratic)[149]",
Oklahoma 1,Jim Bridenstine,Republican,2012,"Representative Jim Bridenstine (R) resigned April 23, 2018.[j]
New member to be elected.","Tim Gilpin (Democratic)[162]
Kevin Hern (Republican)[162]",
Oklahoma 2,Markwayne Mullin,Republican,2012,Incumbent renominated.,"Richard Castaldo (Libertarian)[162]
John Foreman (Independent)[162]
Markwayne Mullin (Republican)[162]
Jason Nichols (Democratic)[162]",
Oklahoma 3,Frank Lucas,Republican,1994,Incumbent renominated.,"Frank Lucas (Republican)[162]
Frankie Robbins (Democratic)[162]",
Oklahoma 4,Tom Cole,Republican,2002,Incumbent renominated.,"Mary Brannon (Democratic)[162]
Tom Cole (Republican)[162]
Ruby Peters (Independent)[162]",
Oklahoma 5,Steve Russell,Republican,2014,Incumbent renominated.,"Kendra Horn (Democratic)[162]
Steve Russell (Republican)[162]",
Oregon 1,Suzanne Bonamici,Democratic,2012,Incumbent renominated.,"Suzanne Bonamici (Democratic)[163]
John Verbeek (Republican)[163]",
Oregon 2,Greg Walden,Republican,1998,Incumbent renominated.,"Jamie McLeod-Skinner (Democratic)[163]
Greg Walden (Republican)[163]",
Oregon 3,Earl Blumenauer,Democratic,1996,Incumbent renominated.,"Earl Blumenauer (Democratic)[163]
Marc Koller (Independent)[164]",
Oregon 4,Peter DeFazio,Democratic,1986,Incumbent renominated.,"Peter DeFazio (Democratic)[163]
Art Robinson (Republican)[163]",
Oregon 5,Kurt Schrader,Democratic,2008,Incumbent renominated.,"Mark Callahan (Republican)[163]
Kurt Schrader (Democratic)[163]",
Pennsylvania 1,"Brian Fitzpatrick
Redistricted from the 8th district",Republican,2016,Incumbent renominated.,"Brian Fitzpatrick (Republican)[45]
Scott Wallace (Democratic)[45]",
Pennsylvania 2,"Brendan Boyle
Redistricted from the 13th district",Democratic,2014,Incumbent renominated.,"Brendan Boyle (Democratic)[45]
David Torres (Republican)[45]",
Pennsylvania 3,Dwight Evans,Democratic,2016,Incumbent renominated.,"Dwight Evans (Democratic)[45]
Bryan Leib (Republican)[45]",Combined two districts -- two incumbents (Brady retired)
Pennsylvania 4,,,,,"Dan David (Republican)[45]
Madeleine Dean (Democratic)[45]",
Pennsylvania 5,Pat Meehan,Republican,2010,"Pat Meehan (R) resigned April 27, 2018.","Pearl Kim (Republican)[45]
Mary Gay Scanlon (Democratic)[45]",
Pennsylvania 6,Ryan Costello,Republican,2014,Incumbent retiring.,"Chrissy Houlahan (Democratic)[45]
Greg McCauley (Republican)[45]",
Pennsylvania 7,Charlie Dent,Republican,2004,"Charlie Dent (R) resigned May 12, 2018.","Marty Nothstein (Republican)[45]
Susan Wild (Democratic)[45]",
Pennsylvania 8,"Matt Cartwright
Redistricted from the 17th district",Democratic,2012,Incumbent renominated.,"Matt Cartwright (Democratic)[45]
John Chrin (Republican)[45]",
Pennsylvania 9,"Lou Barletta
Redistricted from the 11th district",Republican,2010,Incumbent retiring to run for U.S. Senator.,"Dan Meuser (Republican)[45]
Denny Wolff (Democratic)[45]",
Pennsylvania 10,"Scott Perry
Redistricted from the 4th district",Republican,2012,Incumbent renominated.,"Scott Perry (Republican)[45]
George Scott (Democratic)[45]",
Pennsylvania 11,"Lloyd Smucker
Redistricted from the 16th district",Republican,2016,Incumbent renominated.,"Drew Anderson (Independent)[165]
Jess King (Democratic)[45]
Lloyd Smucker (Republican)[45]",
Pennsylvania 12,"Tom Marino
Redistricted from the 10th district",Republican,2010,Incumbent renominated.,"Marc Friedenberg (Democratic)[45]
Jerry Kairnes (Independent)[166]
Tom Marino (Republican)[45]",
Pennsylvania 13,"Bill Shuster
Redistricted from the 9th district",Republican,2002,Incumbent retiring.,"John Joyce (Republican)[45]
Brent Ottaway (Democratic)[45]",
Pennsylvania 14,,,,Incumbent running in the 18th district.,"Bibiana Boerio (Democratic)[45]
Guy Reschenthaler (Republican)[45]",
Pennsylvania 15,"Glenn Thompson
Redistricted from the 5th district",Republican,2008,Incumbent renominated.,"Susan Boser (Democratic)[45]
Glenn Thompson (Republican)[45]",
Pennsylvania 16,"Mike Kelly
Redistricted from the 3rd district",Republican,2010,Incumbent renominated.,"Mike Kelly (Republican)[45]
Ron DiNicola (Democratic)[45]",
Pennsylvania 17,"Keith Rothfus
Redistricted from the 12th district",Republican,2012,Incumbent renominated.,"Conor Lamb (Democratic)[45]
Keith Rothfus (Republican)[45]","Combined two districts -- two incumbents (one R, one D, both running)"
Pennsylvania 18,"Mike Doyle
Redistricted from the 14th district",Democratic,1994,Incumbent renominated.,Mike Doyle (Democratic)[45],
Rhode Island 1,David Cicilline,Democratic,2010,Incumbent renominated.,"David Cicilline (Democratic)[167]
Patrick Donovan (Republican)[167]
Daniel Joseph Guilmette (Independent)[167]",
Rhode Island 2,James Langevin,Democratic,2000,Incumbent renominated.,"Sal Caiozzo (Republican)[167]
James Langevin (Democratic)[167]",
South Carolina 1,Mark Sanford,Republican,2013,Incumbent lost renomination.,"Katie Arrington (Republican)[168]
Joe Cunningham (Democratic)[168]",
South Carolina 2,Joe Wilson,Republican,2001,Incumbent renominated.,"Sean Carrigan (Democratic)[168]
Sonny Narang (American)[168]
Joe Wilson (Republican)[168]",
South Carolina 3,Jeff Duncan,Republican,2010,Incumbent renominated.,"Jeff Duncan (Republican)[168]
Mary Geren (Democratic)[168]
Dave Moore (American)[168]",
South Carolina 4,Trey Gowdy,Republican,2010,Incumbent retiring.,"Brandon Brown (Democratic)[168]
Guy Furay (American)[168]
William Timmons (Republican)[168]",
South Carolina 5,Ralph Norman,Republican,2017,Incumbent renominated.,"Michael Chandler (Constitution)[168]
Ralph Norman (Republican)[168]
Archie Parnell (Democratic)[168]",
South Carolina 6,Jim Clyburn,Democratic,1992,Incumbent renominated.,"Jim Clyburn (Democratic)[168]
Gerhard Gressmann (Republican)[168]
Bryan Pugh (Green)[168]",
South Carolina 7,Tom Rice,Republican,2012,Incumbent renominated.,"Tom Rice (Republican)[168]
Robert Williams (Democratic)[168]
Dick Withington (Libertarian)[168]",
South Dakota 1,Kristi Noem,Republican,2010,Incumbent retiring to run for Governor.,"Tim Bjorkman (Democratic)[169]
George Hendrickson (Libertarian)[170]
Dusty Johnson (Republican)[169]",
Tennessee 1,Phil Roe,Republican,2008,Incumbent renominated.,"Marty Olsen (Democratic)[171]
Phil Roe (Republican)[171]
Michael Salyer (Independent)[171]",
Tennessee 2,Jimmy Duncan,Republican,1988,Incumbent retiring.,"Tim Burchett (Republican)[171]
Jeffrey Grunau (Independent)[171]
Renee Hoyos (Democratic)[171]
Greg Samples (Independent)[i][172][171]
Allen Smith (Independent)[171]
Marc Whitmire (Independent)[171]",
Tennessee 3,Chuck Fleischmann,Republican,2010,Incumbent renominated.,"Chuck Fleischmann (Republican)[171]
Danielle Mitchell (Democratic)[171]
Rick Tyler (Independent)[171]",
Tennessee 4,Scott DesJarlais,Republican,2010,Incumbent renominated.,"Scott DesJarlais (Republican)[171]
Mariah Phillips (Democratic)[171]
Michael Shupe (Independent)[171]",
Tennessee 5,Jim Cooper,Democratic,2002,Incumbent renominated.,"Jody Ball (Republican)[171]
Jim Cooper (Democratic)[171]",
Tennessee 6,Diane Black,Republican,2010,Incumbent retiring to run for Governor.,"Dawn Barlow (Democratic)[171]
Lloyd Dunn (Independent)[171]
John Rose (Republican)[171]
David Ross (Independent)[i][173][171]",
Tennessee 7,Marsha Blackburn,Republican,2002,Incumbent retiring to run for U.S. Senator.,"Mark Green (Republican)[171]
Justin Kanew (Democratic)[171]
Lenny Ladner (Independent)[171]
Brent Legendre (Independent)[171]",
Tennessee 8,David Kustoff,Republican,2016,Incumbent renominated.,"John Boatner (Democratic)[171]
James Hart (Independent)[171]
David Kustoff (Republican)[171]
Erika Stotts Pearson (Democratic)[171]",
Tennessee 9,Steve Cohen,Democratic,2006,Incumbent renominated.,"Leo AwGoWhat (Independent)[171]
Charlotte Bergmann (Republican)[171]
Steve Cohen (Democratic)[171]",
Texas 1,Louie Gohmert,Republican,2004,Incumbent renominated.,"Jeff Callaway (Libertarian)[174]
Louie Gohmert (Republican)[175]
Shirley McKellar (Democratic)[175]",
Texas 2,Ted Poe,Republican,2004,Incumbent retiring.,"Dan Crenshaw (Republican)[175]
Scott Cubbler (Independent)[176]
Patrick Gunnels (Libertarian)[174]
Todd Litton (Democratic)[175]",
Texas 3,Sam Johnson,Republican,1991,Incumbent retiring.,"Lorie Burch (Democratic)[175]
Christopher Claytor (Libertarian)[174]
Van Taylor (Republican)[175]",
Texas 4,John Ratcliffe,Republican,2014,Incumbent renominated.,"Ken Ashby (Libertarian)[174]
Catherine Krantz (Democratic)[175]
John Ratcliffe (Republican)[175]",
Texas 5,Jeb Hensarling,Republican,2002,Incumbent retiring.,"Lance Gooden (Republican)[175]
Dan Wood (Democratic)[175]",
Texas 6,Joe Barton,Republican,1984,Incumbent retiring.,"Jason Allen Harber (Libertarian)[174]
Jana Lynne Sanchez (Democratic)[175]
Ron Wright (Republican)[175]",
